"ID","Funcionalidad","Prioridad","Iteración","Dependencias","Riesgo"
"F01","Sistema de autenticación y gestión de usuarios","Alta","1","-","Medio"
"F02","Creación y gestión de proyectos con asignación de roles","Alta","1","F01","Medio"
"F03","Gestión de historias de usuario con priorización","Alta","1","F02","Bajo"
"F04","Creación y gestión de sprints","Alta","2","F02, F03","Medio"
"F05","Gestión de tareas con asignación a miembros del equipo","Alta","2","F03, F04","Bajo"
"F06","Tablero Kanban para visualización y actualización de tareas","Alta","2","F05","Medio"
"F07","Sistema de evaluación de entregables con retroalimentación","Media","3","F05","Medio"
"F08","Generación de métricas y reportes de desempeño","Media","3","F04, F05, F06","Alto"
"F09","Sistema de notificaciones para eventos relevantes","Baja","3","F01, F02, F05","Bajo"
"F10","Dashboard personalizado según el rol del usuario","Media","3","F01, F02, F05, F08","Medio"
"F11","Gestión de documentos y archivos","Media","4","F02","Bajo"
"F12","Sistema de comunicación interna","Media","4","F01","Medio"
"F13","Calendario de eventos y recordatorios","Baja","4","F04","Bajo"
"F14","Exportación de datos en formatos estándar","Baja","5","F08","Bajo"
